Timestamp,Average_Difference,Total_Difference
1694596198.0610511,0,0.0
1694596203.5886626,0,0.0
1694596205.0190141,0,0.0
1694596212.8256044,0,0.0
1694596214.3842933,0,0.0
1694596220.6696556,0,0.0
1694596224.823971,0.0010523796081542969,0.0010523796081542969
1694596226.8702815,0,0.0
1694596237.262422,0,0.0
1694596238.992388,0.0011065006256103516,0.0011065006256103516
1694596239.167273,0,0.0
1694596244.3602324,0,0.0
1694596251.0135148,0,0.0
1694596256.180419,0,0.0
1694596256.2002325,0,0.0
1694596261.0509312,0,0.0
1694596265.628031,0.09270524978637695,0.09270524978637695
1694596270.2701313,0,0.0
1694596281.181494,0,0.0
1694596283.000023,0,0.0
1694596283.9730756,0,0.0
1694596285.4893248,0,0.0
1694596290.7181184,0,0.0
1694596293.5300858,0,0.0
1694596294.7200904,0,0.0
1694596296.0882273,0,0.0
1694596296.9260998,0,0.0
1694596298.0736427,0,0.0
1694596302.815299,0,0.0
1694596305.0295298,0,0.0
1694596305.2582731,0,0.0
1694596305.9847455,0,0.0
1694596313.620395,0,0.0
1694596321.3287258,0,0.0
1694596321.9458911,0,0.0
1694596328.875101,0,0.0
1694596344.254259,0,0.0
1694596345.8419824,0,0.0
1694596347.4930806,0,0.0
1694596360.225433,0,0.0
1694596360.430708,0,0.0
1694596371.4907885,0,0.0
1694596384.7276907,0,0.0
1694596391.526732,0,0.0
1694596396.9911904,0,0.0
1694596398.858999,0,0.0
1694596411.2390103,0,0.0
1694596417.0357065,0,0.0
1694596418.7793536,0,0.0
1694596419.5708954,0,0.0
1694596419.8995373,0,0.0
1694596420.4250374,0,0.0
1694596429.8561335,0,0.0
1694596434.8942475,0,0.0
1694596435.4441118,0.09346747398376465,0.09346747398376465
1694596440.534375,0,0.0
1694596440.820873,0,0.0
1694596457.150674,0,0.0
1694596459.666807,0,0.0
1694596463.352087,0.001689910888671875,0.001689910888671875
1694596478.7762237,0,0.0
1694596483.502638,0,0.0
1694596487.3208554,0,0.0
1694596489.9729085,0,0.0
1694596493.1572988,0,0.0
1694596518.0376153,0,0.0
1694596530.5415785,0,0.0
1694596546.7584448,0,0.0
1694596547.789075,0,0.0
1694596558.584625,0,0.0
1694596559.038909,0,0.0
1694596560.4715972,0,0.0
1694596565.8371842,0,0.0
1694596574.102403,0,0.0
1694596579.522754,0,0.0
1694596584.1915338,0.0008392333984375,0.0008392333984375
1694596590.8229709,0,0.0
1694596595.0041916,0,0.0
1694596606.0830393,0,0.0
1694596614.348384,0,0.0
1694596615.4467242,0,0.0
1694596620.2662172,0,0.0
1694596625.1703155,0.0010395050048828125,0.0010395050048828125
1694596628.4687045,0,0.0
1694596634.8165398,0,0.0
1694596636.5050554,0,0.0
1694596646.0357044,0,0.0
1694596658.7447817,0,0.0
1694596662.2524114,0,0.0
1694596662.3863132,0,0.0
1694596662.9809198,0,0.0
1694596663.815329,0,0.0
1694596664.0044088,0,0.0
1694596668.0826578,0,0.0
1694596678.7855158,0,0.0
1694596687.334752,0,0.0
1694596690.7485678,0,0.0
1694596691.6117454,0.001787424087524414,0.001787424087524414
1694596699.331648,0,0.0
1694596702.2847898,0,0.0
1694596723.8562028,0,0.0
1694596726.7223465,0,0.0
1694596727.169046,0,0.0
1694596729.544596,0,0.0
1694596730.3721871,0,0.0
1694596736.2580757,0,0.0
1694596738.4552515,0,0.0
1694596748.4352143,0,0.0
1694596752.2991982,0,0.0
1694596764.2748866,0.0008518695831298828,0.0008518695831298828
1694596765.3787904,0,0.0
1694596767.815103,0,0.0
1694596774.1204422,0,0.0
1694596787.410675,0,0.0
1694596790.0338516,0,0.0
1694596793.141442,0,0.0
1694596800.0627718,0,0.0
1694596801.6822886,0,0.0
1694596810.133453,0,0.0
1694596811.553592,0,0.0
1694596812.6650648,0,0.0
1694596814.5812807,0,0.0
1694596825.8200803,0,0.0
1694596829.2638395,0,0.0
1694596831.4354362,0,0.0
1694596837.0750792,0,0.0
